filename	round2plate	round1index	well	plate	group	donor	recipient
16S-B-F10-L1	B	1	F10	e0059-A-5	e0059	XKB-029	rumin-dropped
16S-B-G10-L1	B	1	G10	e0059-A-5	e0059	XKB-029	strep-dropped
16S-B-H10-L1	B	1	H10	e0059-A-5	e0059	XKB-029	one-bacte-dropped
16S-B-A11-L1	B	1	A11	e0059-A-5	e0059	super-community	blank
16S-B-B11-L1	B	1	B11	e0059-A-5	e0059	super-community	full-community
16S-B-C11-L1	B	1	C11	e0059-A-5	e0059	super-community	bacte-dropped
16S-B-D11-L1	B	1	D11	e0059-A-5	e0059	super-community	bacte-dropped-half_1-2
16S-B-E11-L1	B	1	E11	e0059-A-5	e0059	super-community	lachn-dropped
16S-B-F11-L1	B	1	F11	e0059-A-5	e0059	super-community	rumin-dropped
16S-B-G11-L1	B	1	G11	e0059-A-5	e0059	super-community	strep-dropped
16S-B-H11-L1	B	1	H11	e0059-A-5	e0059	super-community	one-bacte-dropped
16S-B-A12-L1	B	1	A12	e0059-A-5	e0059	blank	blank
16S-B-B12-L1	B	1	B12	e0059-A-5	e0059	blank	full-community
16S-B-C12-L1	B	1	C12	e0059-A-5	e0059	blank	bacte-dropped
16S-B-D12-L1	B	1	D12	e0059-A-5	e0059	blank	bacte-dropped-half_1-2
16S-B-E12-L1	B	1	E12	e0059-A-5	e0059	blank	lachn-dropped
16S-B-F12-L1	B	1	F12	e0059-A-5	e0059	blank	rumin-dropped
16S-B-G12-L1	B	1	G12	e0059-A-5	e0059	blank	strep-dropped
16S-B-H12-L1	B	1	H12	e0059-A-5	e0059	blank	one-bacte-dropped
16S-B-A1-L2	B	2	A1	e0059-B-5	e0059	XBB-029	blank
16S-B-B1-L2	B	2	B1	e0059-B-5	e0059	XBB-029	full-community
16S-B-C1-L2	B	2	C1	e0059-B-5	e0059	XBB-029	bacte-dropped
16S-B-D1-L2	B	2	D1	e0059-B-5	e0059	XBB-029	bacte-dropped-half_1-2
16S-B-E1-L2	B	2	E1	e0059-B-5	e0059	XBB-029	lachn-dropped
16S-B-F1-L2	B	2	F1	e0059-B-5	e0059	XBB-029	rumin-dropped
16S-B-G1-L2	B	2	G1	e0059-B-5	e0059	XBB-029	strep-dropped
16S-B-H1-L2	B	2	H1	e0059-B-5	e0059	XBB-029	one-bacte-dropped
16S-B-A2-L2	B	2	A2	e0059-B-5	e0059	XCB-029	blank
16S-B-B2-L2	B	2	B2	e0059-B-5	e0059	XCB-029	full-community
16S-B-C2-L2	B	2	C2	e0059-B-5	e0059	XCB-029	bacte-dropped
16S-B-D2-L2	B	2	D2	e0059-B-5	e0059	XCB-029	bacte-dropped-half_1-2
16S-B-E2-L2	B	2	E2	e0059-B-5	e0059	XCB-029	lachn-dropped
16S-B-F2-L2	B	2	F2	e0059-B-5	e0059	XCB-029	rumin-dropped
16S-B-G2-L2	B	2	G2	e0059-B-5	e0059	XCB-029	strep-dropped
16S-B-H2-L2	B	2	H2	e0059-B-5	e0059	XCB-029	one-bacte-dropped
16S-B-A3-L2	B	2	A3	e0059-B-5	e0059	XDB-029	blank
16S-B-B3-L2	B	2	B3	e0059-B-5	e0059	XDB-029	full-community
16S-B-C3-L2	B	2	C3	e0059-B-5	e0059	XDB-029	bacte-dropped
16S-B-D3-L2	B	2	D3	e0059-B-5	e0059	XDB-029	bacte-dropped-half_1-2
16S-B-E3-L2	B	2	E3	e0059-B-5	e0059	XDB-029	lachn-dropped
16S-B-F3-L2	B	2	F3	e0059-B-5	e0059	XDB-029	rumin-dropped
16S-B-G3-L2	B	2	G3	e0059-B-5	e0059	XDB-029	strep-dropped
16S-B-H3-L2	B	2	H3	e0059-B-5	e0059	XDB-029	one-bacte-dropped
16S-B-A4-L2	B	2	A4	e0059-B-5	e0059	XEB-029	blank
16S-B-B4-L2	B	2	B4	e0059-B-5	e0059	XEB-029	full-community
16S-B-C4-L2	B	2	C4	e0059-B-5	e0059	XEB-029	bacte-dropped
16S-B-D4-L2	B	2	D4	e0059-B-5	e0059	XEB-029	bacte-dropped-half_1-2
16S-B-E4-L2	B	2	E4	e0059-B-5	e0059	XEB-029	lachn-dropped
