"level" "taxa" "taxashort" "hex" "R" "G" "B"
"4" "Bacteria.Armatimonadetes.[Fimbriimonadia].[Fimbriimonadales]" "[Fimbriimonadales]" "#004695" "0" "0.275862068965517" "0.586206896551724"
"4" "Bacteria.BRC1.PRR-11." "" "#D3FF00" "0.827586206896552" "1" "0"
"4" "Bacteria.Bacteroidota.Bacteroidia.Bacteroidales" "Bacteroidales" "#B94FD3" "0.724137931034483" "0.310344827586207" "0.827586206896552"
"4" "Bacteria.Bacteroidota.Bacteroidia.Cytophagales" "Cytophagales" "#3E001A" "0.241379310344828" "0" "0.103448275862069"
"4" "Bacteria.Bacteroidetes.Flavobacteriia.Flavobacteriales" "Flavobacteriales" "#EDFFB0" "0.931034482758621" "1" "0.689655172413793"
"4" "Bacteria.Bacteroidetes.Sphingobacteriia.Sphingobacteriales" "Sphingobacteriales" "#FF7B61" "1" "0.482758620689655" "0.379310344827586"
"4" "Bacteria.Bacteroidetes.[Rhodothermi].[Rhodothermales]" "[Rhodothermales]" "#46FF7B" "0.275862068965517" "1" "0.482758620689655"
"4" "Bacteria.Bacteroidetes.[Saprospirae].[Saprospirales]" "[Saprospirales]" "#12A761" "0.0689655172413793" "0.655172413793103" "0.379310344827586"
"4" "Bacteria.Chlamydiae.Chlamydiia.Chlamydiales" "Chlamydiales" "#D3A7A7" "0.827586206896552" "0.655172413793103" "0.655172413793103"
"4" "Bacteria.Chloroflexi.Anaerolineae.Anaerolineales" "Anaerolineales" "#D34F84" "0.827586206896552" "0.310344827586207" "0.517241379310345"
"4" "Bacteria.Chloroflexi.Anaerolineae.Ardenscatenales" "Ardenscatenales" "#6A00C1" "0.413793103448276" "0" "0.758620689655172"
"4" "Bacteria.Chloroflexi.Anaerolineae.Caldilineales" "Caldilineales" "#2C6146" "0.172413793103448" "0.379310344827586" "0.275862068965517"
"4" "Bacteria.Chloroflexi.Anaerolineae.DRC31" "DRC31" "#0095F6" "0" "0.586206896551724" "0.96551724137931"
"4" "Bacteria.Chloroflexi.Anaerolineae.GCA004" "GCA004" "#093E4F" "0.0344827586206897" "0.241379310344828" "0.310344827586207"
"4" "Bacteria.Chloroflexi.Anaerolineae.SBR1031" "SBR1031" "#A75809" "0.655172413793103" "0.344827586206897" "0.0344827586206897"
"4" "Bacteria.Chloroflexi.Chloroflexi.AKIW781" "AKIW781" "#72613E" "0.448275862068966" "0.379310344827586" "0.241379310344828"
